DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3746059.3747715,"Marciniak, Zofia, Lertjaturaphat, Punn, Bianchi, Andrea",Henry,,,,,No,No,No,,,ACM,,,StitchFlow: Enabling In-Situ Creative Explorations of Crochet Patterns With Stitch Tracking and Process Sharing,https://doi.org/10.1145/3746059.3747715,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,,2025
10.1145/3411764.3445674,"Zhou, Zhilan, Wen, Ximing, Wang, Yue, Gotz, David",Henry,,,,,No,No,No,,,ACM,,,Modeling and Leveraging Analytic Focus During Exploratory Visual Analysis,https://doi.org/10.1145/3411764.3445674,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,2021
10.1145/3329189.3329228,"Vincent, Amal, Gupta, Ankit, Li, Ruoyu, Shaw, Chris, Akhyani, Saba",Henry,,,,,No,No,No,,,ACM,,,Data acquisition and visual analytic tool-set for paediatric sleep data,https://doi.org/10.1145/3329189.3329228,Proceedings of the 13th EAI International Conference on Pervasive Computing Technologies for Healthcare,,2019
10.1145/3544548.3580701,"Xu, Xian, Wu, Aoyu, Yang, Leni, Wei, Zheng, Huang, Rong, Yip, David, Qu, Huamin",Henry,,,,,No,No,No,,,ACM,,,Is It the End? Guidelines for Cinematic Endings in Data Videos,https://doi.org/10.1145/3544548.3580701,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,,2023
10.1145/3642963.3652205,"Tehrany, Nick, Doekemeijer, Krijn, Trivedi, Animesh",Henry,,,,,No,No,No,,,ACM,,,"zns-tools: An eBPF-powered, Cross-Layer Storage Profiling Tool for NVMe ZNS SSDs",https://doi.org/10.1145/3642963.3652205,Proceedings of the 4th Workshop on Challenges and Opportunities of Efficient and Performant Storage Systems,,2024
10.1145/3411764.3445344,"Lan, Xingyu, Xu, Xinyue, Cao, Nan",Henry,,,,,No,No,No,,,ACM,,,Understanding Narrative Linearity for Telling Expressive Time-Oriented Stories,https://doi.org/10.1145/3411764.3445344,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,2021
10.1145/3706598.3713818,"Kim, Yewon, Lee, Sung-Ju, Donahue, Chris",Henry,,,,,No,No,No,,,ACM,,,Amuse: Human-AI Collaborative Songwriting with Multimodal Inspirations,https://doi.org/10.1145/3706598.3713818,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3041021.3053058,"Portenoy, Jason, West, Jevin D.",Henry,,,,,No,No,No,,,ACM,,,Visualizing Scholarly Publications and Citations to Enhance Author Profiles,https://doi.org/10.1145/3041021.3053058,Proceedings of the 26th International Conference on World Wide Web Companion,,2017
10.1145/3432210,"Bari, Rummana, Rahman, Md. Mahbubur, Saleheen, Nazir, Parsons, Megan Battles, Buder, Eugene H., Kumar, Santosh",Henry,,,,,No,No,No,,,ACM,,,Automated Detection of Stressful Conversations Using Wearable Physiological and Inertial Sensors,https://doi.org/10.1145/3432210,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,,2020
10.1145/3210604.3210611,"Villalba, Clare, Donovan, Jared, Jaiprakash, Anjali, Askew, Deborah, Roberts, Jonathan, Russell, Anthony, Crawford, Ross, Hayman, Noel",Henry,,,,,No,No,No,,,ACM,,,Data timelines as paths of expression for organizational reflection in healthcare participatory design,https://doi.org/10.1145/3210604.3210611,"Proceedings of the 15th Participatory Design Conference: Short Papers, Situated Actions, Workshops and Tutorial - Volume 2",,2018
10.1145/3290605.3300786,"Schwab, Michail, Hao, Sicheng, Vitek, Olga, Tompkin, James, Huang, Jeff, Borkin, Michelle A.",Henry,,,,,No,No,No,,,ACM,,,Evaluating Pan and Zoom Timelines and Sliders,https://doi.org/10.1145/3290605.3300786,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,,2019
10.1145/3341620.3341622,"Zhou, Wei, Luo, Danxue, Chen, Jin",Henry,,,,,No,No,No,,,ACM,,,Review and Investigate the Mapping Knowledge Domain of Financial Big Data Research,https://doi.org/10.1145/3341620.3341622,Proceedings of the 2019 International Conference on Big Data Engineering,,2019
10.1145/3719160.3736616,"Samimi, Reza, Bhattacharya, Aditya, Gosak, Lucija, Stiglic, Gregor, Verbert, Katrien",Henry,,,,,No,No,No,,,ACM,,,Visual-Conversational Interface for Evidence-Based Explanation of Diabetes Risk Prediction,https://doi.org/10.1145/3719160.3736616,Proceedings of the 7th ACM Conference on Conversational User Interfaces,,2025
10.1145/2087756.2087853,"McNamara, Ann M.",Henry,,,,,No,No,No,,,ACM,,,Enhancing art history education through mobile augmented reality,https://doi.org/10.1145/2087756.2087853,Proceedings of the 10th International Conference on Virtual Reality Continuum and Its Applications in Industry,,2011
10.1145/3544548.3580841,"Palani, Srishti, Naik, Aakanksha, Downey, Doug, Zhang, Amy X., Bragg, Jonathan, Chang, Joseph Chee",Henry,,,,,No,No,No,,,ACM,,,Relatedly: Scaffolding Literature Reviews with Existing Related Work Sections,https://doi.org/10.1145/3544548.3580841,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,,2023
10.1145/3428502.3428610,"Stavropoulou, Stefania, Romas, Ilias, Tsekeridou, Sofia, Loutsaris, Michalis Avgerinos, Lampoltshammer, Thomas, Thurnay, L\H{o}rinc, Virkar, Shefali, Schefbeck, Guenther, Kyriakou, Nektarios, Lachana, Zoi, Alexopoulos, Charalampos, Charalambidis, Yannis",Henry,,,,,No,No,No,,,ACM,,,"Architecting an innovative big open legal data analytics, search and retrieval platform",https://doi.org/10.1145/3428502.3428610,Proceedings of the 13th International Conference on Theory and Practice of Electronic Governance,,2020
10.1145/3706598.3713693,"Chen, Yuexi, Xiao, Yimin, Zinat, Kazi Tasnim, Yamashita, Naomi, Gao, Ge, Liu, Zhicheng",Henry,,,,,No,No,No,,,ACM,,,Comparing Native and Non-native English Speakers' Behaviors in Collaborative Writing through Visual Analytics,https://doi.org/10.1145/3706598.3713693,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3715336.3735753,"Park, Minjung, Forlizzi, Jodi, Zimmerman, John",Henry,,,,,No,No,No,,,ACM,,,Exploring the Innovation Opportunities for Pre-trained Models,https://doi.org/10.1145/3715336.3735753,Proceedings of the 2025 ACM Designing Interactive Systems Conference,,2025
10.1145/3635636.3656193,"Xu, Xiaotong (Tone), Palani, Srishti, Munkhbat, Azzaya, Lee, Tiffany, Dow, Steven P.",Henry,,,,,No,No,No,,,ACM,,,Idea-Centric Search: Four Patterns of Information Seeking During Creative Ideation,https://doi.org/10.1145/3635636.3656193,Proceedings of the 16th Conference on Creativity &amp; Cognition,,2024
10.1145/3605155.3605865,"Van\`{e}gue, Adrien, Bourcier, Valentin, Petrillo, Fabio, Costiou, Steven",Henry,,,,,No,No,No,,,ACM,,,Debugging Video Games: A Systematic Mapping,https://doi.org/10.1145/3605155.3605865,Proceedings of the 1st ACM International Workshop on Future Debugging Techniques,,2023
10.1145/3702038.3702070,"Borges, Mariana Gomes, Correa, Claiton Marques, Silveira, Milene Selbach",Henry,,,,,No,No,No,,,ACM,,,Human+Human or Human+AI: A Comparative Analysis of a Narrative Visualization Design Guide,https://doi.org/10.1145/3702038.3702070,Proceedings of the XXIII Brazilian Symposium on Human Factors in Computing Systems,,2024
10.1145/1834518.1834531,"Chisholm, Ariel",Henry,,,,,No,No,No,,,ACM,,,Cool Concept Art,https://doi.org/10.1145/1834518.1834531,ACM SIGGRAPH 2010 Dailies,,2010
10.1145/3715668.3734162,"Vincenzi, Beatrice, Campo Woytuk, Nadia, G\'{o}mez Ortega, Alejandra, Sauv\'{e}, Kim, Forlano, Laura, Akbaba, Derya, Forero, Edda, Thulin, Samuel, Sanches, Pedro, Kuksenok, Kit",Henry,,,,,No,No,No,,,ACM,,,"Bring Your Own Biodata (BYOB): Feminist, Corporeal and Collective Approaches to Datafied Bodies",https://doi.org/10.1145/3715668.3734162,Companion Publication of the 2025 ACM Designing Interactive Systems Conference,,2025
10.1145/3702038.3702080,"Correa, Claiton Marques, Silveira, Milene Selbach",Henry,,,,,No,No,No,,,ACM,,,An Approach for Designing and Exploring Customizable Narrative Data Visualizations,https://doi.org/10.1145/3702038.3702080,Proceedings of the XXIII Brazilian Symposium on Human Factors in Computing Systems,,2024
10.1145/3746059.3747746,"Coscia, Adam J, Guo, Shunan, Koh, Eunyee, Endert, Alex",Henry,,,,,No,No,No,,,ACM,,,OnGoal: Tracking and Visualizing Conversational Goals in Multi-Turn Dialogue with Large Language Models,https://doi.org/10.1145/3746059.3747746,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,,2025
10.1145/3532201,"van Deurzen, Bram, Bruyninckx, Herman, Luyten, Kris",Henry,,,,,No,No,No,,,ACM,,,Choreobot: A Reference Framework and Online Visual Dashboard for Supporting the Design of Intelligible Robotic Systems,https://doi.org/10.1145/3532201,Proc. ACM Hum.-Comput. Interact.,,2022
10.1145/3205929.3205932,"Popelka, Stanislav",Henry,,,,,No,No,No,,,ACM,,,Eye-tracking evaluation of 3D thematic maps,https://doi.org/10.1145/3205929.3205932,Proceedings of the 3rd Workshop on Eye Tracking and Visualization,,2018
10.1145/3313831.3376263,"Lu, Min, Wang, Chufeng, Lanir, Joel, Zhao, Nanxuan, Pfister, Hanspeter, Cohen-Or, Daniel, Huang, Hui",Henry,,,,,No,No,No,,,ACM,,,Exploring Visual Information Flows in Infographics,https://doi.org/10.1145/3313831.3376263,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,2020
10.1145/3711037,"Mejova, Yelena, Capozzi, Arthur, Monti, Corrado, De Francisci Morales, Gianmarco",Henry,,,,,No,No,No,,,ACM,,,Narratives of War: Ukrainian Memetic Warfare on Twitter,https://doi.org/10.1145/3711037,Proc. ACM Hum.-Comput. Interact.,,2025
10.1145/3706598.3714323,"Schramm, Robin Connor, Fedrizzi, Ginevra, Sasalovici, Markus, Freiwald, Jann Philipp, Schwanecke, Ulrich",Henry,,,,,No,No,No,,,ACM,,,Augmented Journeys: Interactive Points of Interest for In-Car Augmented Reality,https://doi.org/10.1145/3706598.3714323,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3706598.3714310,"Rajaram, Shwetha, Surale, Hemant Bhaskar, McConkey, Codie, Rognon, Carine, Mehta, Hrim, Glueck, Michael, Collins, Christopher",Henry,,,,,No,No,No,,,ACM,,,Gesture and Audio-Haptic Guidance Techniques to Direct Conversations with Intelligent Voice Interfaces,https://doi.org/10.1145/3706598.3714310,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3154862.3154881,"Choe, Eun Kyoung, Lee, Bongshin, Zhu, Haining, Riche, Nathalie Henry, Baur, Dominikus",Henry,,,,,No,No,No,,,ACM,,,Understanding self-reflection: how people reflect on personal data through visual data exploration,https://doi.org/10.1145/3154862.3154881,Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare,,2017
10.1145/3532106.3533526,"Hoque, Md Naimul, Ghai, Bhavya, Elmqvist, Niklas",Henry,,,,,No,No,No,,,ACM,,,DramatVis Personae: Visual Text Analytics for Identifying Social Biases in Creative Writing,https://doi.org/10.1145/3532106.3533526,Proceedings of the 2022 ACM Designing Interactive Systems Conference,,2022
10.1145/3130920,"Guo, Bin, Ouyang, Yi, Zhang, Cheng, Zhang, Jiafan, Yu, Zhiwen, Wu, Di, Wang, Yu",Henry,,,,,No,No,No,,,ACM,,,CrowdStory: Fine-Grained Event Storyline Generation by Fusion of Multi-Modal Crowdsourced Data,https://doi.org/10.1145/3130920,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,,2017
10.1145/3347318.3355528,"Napolean, Yeshwanth, Wibowo, Priadi T., van Gemert, Jan C.",Henry,,,,,No,No,No,,,ACM,,,Running Event Visualization using Videos from Multiple Cameras,https://doi.org/10.1145/3347318.3355528,Proceedings Proceedings of the 2nd International Workshop on Multimedia Content Analysis in Sports,,2019
NA,"Lahoti, Geet, Kim, Meen Chul, Youtie, Jan, Porter, Alan L., Zhang, Chuck, Wang, Ben, Hicks, Diana",Henry,,,,,No,No,No,,,ACM,,,A scientometric comparative study of single-walled and multi-walled carbon nanotubes research,NA,Proceedings of the 78th ASIS&amp;T Annual Meeting: Information Science with Impact: Research in and for the Community,,2015
10.1145/3176349.3176897,"Chen, Chaomei",Henry,,,,,No,No,No,,,ACM,,,Visualizing and Exploring Scientific Literature with CiteSpace: An Introduction,https://doi.org/10.1145/3176349.3176897,Proceedings of the 2018 Conference on Human Information Interaction &amp; Retrieval,,2018
10.1145/3426462.3426465,"Kelly, Christopher, Ha, Sungsoo, Huck, Kevin, Van Dam, Hubertus, Pouchard, Line, Matyasfalvi, Gyorgy, Tang, Li, D'Imperio, Nicholas, Xu, Wei, Yoo, Shinjae, Van Dam, Kerstin Kleese",Henry,,,,,No,No,No,,,ACM,,,Chimbuko: A Workflow-Level Scalable Performance Trace Analysis Tool,https://doi.org/10.1145/3426462.3426465,ISAV'20 In Situ Infrastructures for Enabling Extreme-Scale Analysis and Visualization,,2020
10.1145/3706598.3713857,"Yang, Joshua Kong, Leake, Mackenzie, Huang, Jeff, DiVerdi, Stephen",Henry,,,,,No,No,No,,,ACM,,,VidSTR: Automatic Spatiotemporal Retargeting of Speech-Driven Video Compositions,https://doi.org/10.1145/3706598.3713857,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3491102.3501896,"Xu, Xian, Yang, Leni, Yip, David, Fan, Mingming, Wei, Zheng, Qu, Huamin",Henry,,,,,No,No,No,,,ACM,,,From ‘Wow’ to ‘Why’: Guidelines for Creating the Opening of a Data Video with Cinematic Styles,https://doi.org/10.1145/3491102.3501896,Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,,2022
10.1145/2968220.2968223,"Ruppert, Tobias, Bannach, Andreas, Bernard, J\{u}rgen, L\{u}cke-Tieke, Hendrik, Ulmer, Alex, Kohlhammer, J\{o}rn",Henry,,,,,No,No,No,,,ACM,,,Supporting Collaborative Political Decision Making: An Interactive Policy Process Visualization System,https://doi.org/10.1145/2968220.2968223,Proceedings of the 9th International Symposium on Visual Information Communication and Interaction,,2016
10.1145/3643834.3661635,"van Renswouw, Loes, Bogers, Sander, Lallemand, Carine, van Wesemael, Pieter, Vos, Steven",Henry,,,,,No,No,No,,,ACM,,,Changing Perspective on Data in Designing for Active Environments,https://doi.org/10.1145/3643834.3661635,Proceedings of the 2024 ACM Designing Interactive Systems Conference,,2024
10.1145/3220134.3220143,"Mu\~{n}oz-Alc\'{a}ntara, Jes\'{u}s, Kreymer, Ruslan, Funk, Mathias, Markopoulos, Panos",Henry,,,,,No,No,No,,,ACM,,,Alice: design of a Time-oriented Collaboration Service for Design Teams,https://doi.org/10.1145/3220134.3220143,Proceedings of the ACM SIGCHI Symposium on Engineering Interactive Computing Systems,,2018
10.1145/2993901.2993912,"ElTayeby, Omar, Dou, Wenwen",Henry,,,,,No,No,No,,,ACM,,,A Survey on Interaction Log Analysis for Evaluating Exploratory Visualizations,https://doi.org/10.1145/2993901.2993912,Proceedings of the Sixth Workshop on Beyond Time and Errors on Novel Evaluation Methods for Visualization,,2016
10.1145/3411764.3445651,"B\{u}schel, Wolfgang, Lehmann, Anke, Dachselt, Raimund","Alex, Henry",,,,,Yes,Yes,No,,,ACM,Exclude - no character tracking,,MIRIA: A Mixed Reality Toolkit for the In-Situ Visualization and Analysis of Spatio-Temporal Interaction Data,https://doi.org/10.1145/3411764.3445651,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,2021
10.1145/3706598.3713449,"Shen, Leixian, Li, Haotian, Wang, Yun, Qu, Huamin",Henry,,,,,No,No,No,,,ACM,,,Reflecting on Design Paradigms of Animated Data Video Tools,https://doi.org/10.1145/3706598.3713449,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
NA,"Beck, Fabian, Dit, Bogdan, Velasco-Madden, Jaleo, Weiskopf, Daniel, Poshyvanyk, Denys",Henry,,,,,No,No,No,,,ACM,,,Rethinking user interfaces for feature location,NA,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,,2015
10.1145/3424616.3424710,"Sim\~{o}es, Bruno, Carretero, Mar\'{\i}a del Puy, Santiago, Jorge Mart\'{\i}nez",Henry,,,,,No,No,No,,,ACM,,,Photorealism and Kinematics for Web-based CAD data,https://doi.org/10.1145/3424616.3424710,Proceedings of the 25th International Conference on 3D Web Technology,,2020
10.1145/3429395.3429420,"Lin, Hsiao-Man, Liou, Li-Ren, Huang, Nan-Chieh, Li, Chien-Ping",Henry,,,,,No,No,No,,,ACM,,,Bibliometric analyzing of Long-term Care Research during the Period of 2000 to 2019,https://doi.org/10.1145/3429395.3429420,"Proceedings of the 7th Multidisciplinary in International Social Networks Conference and The 3rd International Conference on Economics, Management and Technology",,2020
10.1145/3313831.3376330,"Nebeling, Michael, Speicher, Maximilian, Wang, Xizi, Rajaram, Shwetha, Hall, Brian D., Xie, Zijian, Raistrick, Alexander R. E., Aebersold, Michelle, Happ, Edward G., Wang, Jiayin, Sun, Yanan, Zhang, Lotus, Ramsier, Leah E., Kulkarni, Rhea",Henry,,,,,No,No,No,,,ACM,,,MRAT: The Mixed Reality Analytics Toolkit,https://doi.org/10.1145/3313831.3376330,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,2020
10.1145/3397125.3397127,"Shabdin, Nur Izzati, Ya'acob, Suraya, Sjarif, Nilam Nur Amir",Henry,,,,,No,No,No,,,ACM,,,Relationship Types in Visual Analytics,https://doi.org/10.1145/3397125.3397127,Proceedings of the 2020 6th International Conference on Computer and Technology Applications,,2020
10.1145/3631700.3665183,"Al-Hazwani, Ibrahim, Luo, Tiantian, Inel, Oana, Ricci, Francesco, El-Assady, Mennatallah, Bernard, J\{u}rgen",Henry,,,,,No,No,No,,,ACM,,,ScrollyPOI: A Narrative-Driven Interactive Recommender System for Points-of-Interest Exploration and Explainability,https://doi.org/10.1145/3631700.3665183,"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,2024
10.1145/3680530.3695457,"Wang, Xiruo",Henry,,,,,No,No,No,,,ACM,,,Constructing Immersive Narrative Environments with Physical Interaction: 17th-Century European Fascination with China,https://doi.org/10.1145/3680530.3695457,SIGGRAPH Asia 2024 Art Papers,,2024
10.1145/3613904.3642808,"Bressa, Nathalie, Louis, Jordan, Willett, Wesley, Huron, Samuel",Henry,,,,,No,No,No,,,ACM,,,Input Visualization: Collecting and Modifying Data with Visual Representations,https://doi.org/10.1145/3613904.3642808,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,2024
